timestamp,src_ip,dst_ip,error,status
2026-06-07 20:19:16.491809,51.116.246.106,192.168.1.8,2833.806640625,THREAT
2026-06-07 20:19:16.497153,192.168.1.8,51.116.246.106,78.29151153564453,THREAT
2026-06-07 20:19:16.797301,51.116.246.106,192.168.1.8,78.29151153564453,THREAT
2026-06-07 20:19:16.800372,192.168.1.8,51.116.246.106,77.50401306152344,THREAT
2026-06-07 20:19:16.820276,192.168.1.6,224.0.0.251,6171.1708984375,THREAT
2026-06-07 20:19:17.565858,192.168.1.8,98.70.192.224,78.29151153564453,THREAT
2026-06-07 20:19:17.647613,98.70.192.224,192.168.1.8,78.29151153564453,THREAT
2026-06-07 20:19:17.650241,192.168.1.8,98.70.192.224,77.50401306152344,THREAT
2026-06-07 20:19:18.634977,192.168.1.6,224.0.0.251,890.0001831054688,THREAT
2026-06-07 20:19:18.767504,192.168.1.6,224.0.0.251,890.0001831054688,THREAT
2026-06-07 20:19:19.053806,192.168.1.6,224.0.0.251,890.0001831054688,THREAT
2026-06-07 20:19:19.354390,192.168.1.6,224.0.0.251,6171.1708984375,THREAT
2026-06-07 20:19:20.279205,192.168.1.6,224.0.0.251,6171.1708984375,THREAT
2026-06-07 20:19:20.285481,192.168.1.8,192.168.1.1,206.66024780273438,THREAT
2026-06-07 20:19:20.288050,192.168.1.8,192.168.1.1,206.66024780273438,THREAT
2026-06-07 20:19:20.300623,192.168.1.8,20.184.175.21,106.57421875,THREAT
2026-06-07 20:19:20.305918,192.168.1.1,192.168.1.8,1096.4146728515625,THREAT
2026-06-07 20:19:20.317208,192.168.1.1,192.168.1.8,1598.6585693359375,THREAT
2026-06-07 20:19:20.412388,192.168.1.8,20.42.65.89,6283.7802734375,THREAT
2026-06-07 20:19:20.415474,192.168.1.8,20.42.65.89,51570.29296875,THREAT
2026-06-07 20:19:20.417626,192.168.1.8,20.42.65.89,3839.0732421875,THREAT
2026-06-07 20:19:20.565282,20.184.175.21,192.168.1.8,114.31364440917969,THREAT
2026-06-07 20:19:20.567248,192.168.1.8,20.184.175.21,77.50401306152344,THREAT
2026-06-07 20:19:20.570840,192.168.1.8,20.184.175.21,7966.51220703125,THREAT
2026-06-07 20:19:20.603809,192.168.1.8,20.184.175.9,6234.41455078125,THREAT
2026-06-07 20:19:20.607201,192.168.1.8,20.184.175.9,51570.29296875,THREAT
2026-06-07 20:19:20.610186,192.168.1.8,20.184.175.9,1701.3658447265625,THREAT
2026-06-07 20:19:20.648429,20.42.65.89,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:20.652933,20.42.65.89,192.168.1.8,263.0971984863281,THREAT
2026-06-07 20:19:20.655694,192.168.1.8,20.42.65.89,77.50401306152344,THREAT
2026-06-07 20:19:20.660089,20.42.65.89,192.168.1.8,6160.73193359375,THREAT
2026-06-07 20:19:20.662627,192.168.1.8,20.42.65.89,77.50401306152344,THREAT
2026-06-07 20:19:20.667261,192.168.1.8,20.42.65.89,6283.7802734375,THREAT
2026-06-07 20:19:20.669526,192.168.1.8,20.42.65.89,50800.85546875,THREAT
2026-06-07 20:19:20.839579,20.184.175.21,192.168.1.8,585.2926635742188,THREAT
2026-06-07 20:19:20.842487,192.168.1.8,20.184.175.21,5894.31689453125,THREAT
2026-06-07 20:19:20.880027,20.184.175.9,192.168.1.8,263.0971984863281,THREAT
2026-06-07 20:19:20.884767,20.184.175.9,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:20.887426,192.168.1.8,20.184.175.9,77.50401306152344,THREAT
2026-06-07 20:19:20.889771,20.184.175.9,192.168.1.8,6111.853515625,THREAT
2026-06-07 20:19:20.892216,192.168.1.8,20.184.175.9,77.50401306152344,THREAT
2026-06-07 20:19:20.895002,192.168.1.8,20.184.175.9,6234.41455078125,THREAT
2026-06-07 20:19:20.897394,192.168.1.8,20.184.175.9,48024.26953125,THREAT
2026-06-07 20:19:20.913079,20.42.65.89,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:20.915751,20.42.65.89,192.168.1.8,6111.853515625,THREAT
2026-06-07 20:19:20.917865,192.168.1.8,20.42.65.89,77.50401306152344,THREAT
2026-06-07 20:19:20.920079,192.168.1.8,20.42.65.89,6283.7802734375,THREAT
2026-06-07 20:19:20.922325,192.168.1.8,20.42.65.89,50941.73046875,THREAT
2026-06-07 20:19:21.119913,20.184.175.21,192.168.1.8,51570.29296875,THREAT
2026-06-07 20:19:21.122897,20.184.175.21,192.168.1.8,51570.29296875,THREAT
2026-06-07 20:19:21.125577,20.184.175.21,192.168.1.8,51570.29296875,THREAT
2026-06-07 20:19:21.129477,20.184.175.21,192.168.1.8,51570.29296875,THREAT
2026-06-07 20:19:21.132847,20.184.175.21,192.168.1.8,28992.341796875,THREAT
2026-06-07 20:19:21.135160,192.168.1.8,20.184.175.21,77.50401306152344,THREAT
2026-06-07 20:19:21.137463,192.168.1.8,20.184.175.21,51570.29296875,THREAT
2026-06-07 20:19:21.139591,192.168.1.8,20.184.175.21,51570.29296875,THREAT
2026-06-07 20:19:21.142543,192.168.1.8,20.184.175.21,51570.29296875,THREAT
2026-06-07 20:19:21.146264,192.168.1.8,20.184.175.21,51570.29296875,THREAT
2026-06-07 20:19:21.148697,192.168.1.8,20.184.175.21,51570.29296875,THREAT
2026-06-07 20:19:21.150870,192.168.1.8,20.184.175.21,5197.73193359375,THREAT
2026-06-07 20:19:21.156637,20.42.65.89,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.161858,20.42.65.89,192.168.1.8,6111.853515625,THREAT
2026-06-07 20:19:21.164612,192.168.1.8,20.42.65.89,77.50401306152344,THREAT
2026-06-07 20:19:21.167401,192.168.1.8,20.42.65.89,6283.7802734375,THREAT
2026-06-07 20:19:21.170075,192.168.1.8,20.42.65.89,50941.73046875,THREAT
2026-06-07 20:19:21.174361,20.184.175.9,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.179195,20.184.175.9,192.168.1.8,6111.853515625,THREAT
2026-06-07 20:19:21.182030,192.168.1.8,20.184.175.9,77.50401306152344,THREAT
2026-06-07 20:19:21.185059,192.168.1.8,20.184.175.9,6234.41455078125,THREAT
2026-06-07 20:19:21.187812,192.168.1.8,20.184.175.9,47955.85546875,THREAT
2026-06-07 20:19:21.401623,20.42.65.89,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.404468,20.42.65.89,192.168.1.8,6111.853515625,THREAT
2026-06-07 20:19:21.408093,192.168.1.8,20.42.65.89,77.50401306152344,THREAT
2026-06-07 20:19:21.412881,192.168.1.8,20.42.65.89,6283.7802734375,THREAT
2026-06-07 20:19:21.418868,192.168.1.8,20.42.65.89,51012.2421875,THREAT
2026-06-07 20:19:21.421778,20.184.175.21,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.425071,20.184.175.21,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.430351,20.184.175.21,192.168.1.8,615.5365600585938,THREAT
2026-06-07 20:19:21.433201,20.184.175.21,192.168.1.8,6585.26806640625,THREAT
2026-06-07 20:19:21.435363,192.168.1.8,20.184.175.21,77.50401306152344,THREAT
2026-06-07 20:19:21.437869,192.168.1.8,20.184.175.21,162.56117248535156,THREAT
2026-06-07 20:19:21.441489,192.168.1.8,20.184.175.21,78.29151153564453,THREAT
2026-06-07 20:19:21.451358,20.184.175.9,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.458387,20.184.175.9,192.168.1.8,6111.853515625,THREAT
2026-06-07 20:19:21.463526,192.168.1.8,20.184.175.9,77.50401306152344,THREAT
2026-06-07 20:19:21.641747,20.42.65.89,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.645371,20.42.65.89,192.168.1.8,6111.853515625,THREAT
2026-06-07 20:19:21.647336,192.168.1.8,20.42.65.89,77.50401306152344,THREAT
2026-06-07 20:19:21.649988,192.168.1.8,20.42.65.89,6283.7802734375,THREAT
2026-06-07 20:19:21.652678,192.168.1.8,20.42.65.89,50871.26953125,THREAT
2026-06-07 20:19:21.681928,20.184.175.21,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.883251,20.42.65.89,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:19:21.886198,20.42.65.89,192.168.1.8,6111.853515625,THREAT
2026-06-07 20:19:21.889067,192.168.1.8,20.42.65.89,77.50401306152344,THREAT
2026-06-07 20:19:21.936246,192.168.1.6,224.0.0.251,890.0001831054688,THREAT
